Speaker Name,Display Pic url,Designation,Company
Ankur Bhan,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Nokia.jpg,Global Head of Nokia WING ,Nokia
James Swanson,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Jim-Swanson.jpg,CIO and Head of Digital Transformation,Bayer Crop Science
Dr Katie Russell,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Katie-Russell.jpg,Head of Data & Analytics,OVO Energy 
Javier Campos,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Hello.png,Head of DataLabs,Experian
Gil Adato,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/ph.jpg,"Vice President, Digital Health - Head of New Business Development & Connected Value Propositions",Philips 
Norman Stürtz,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Norman_Stuertz_2019.jpg,"Divisional CDO, Credit Suisse (Schweiz) AG",Credit Suisse
Natalie Jakomis,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Natalie-go-compare.jpg,Group Head of Data ,GoCompare
Cyrille Bataller,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Cyrille-Bataller.jpg,Managing Director - Emerging Technology,Accenture Applied Intelligence
John Park,https://www.ai-expo.net/europe/wp-content/uploads/2019/06/John-P.jpg,Senior Software Engineer ,Airbnb
Abhijit Akerkar,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/ll-1.jpg,"Head of Applied Sciences, Business Integration",Lloyds Banking Group
Maria Crosas Batista,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Nestle.jpg,IS/IT Project Manager,Nestlé
Sam Hemmant,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Sam-Hemmant-002-1.jpg,Global Marketing Director,LexisNexis
Martin Treder,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/Martin-Treder.jpg,Managing Director Data Management International ,FedEx
Pierluigi Casale,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/PierLuigi-Casale.jpeg,Group Data Scientist ,TomTom
Alejandra Leon,https://www.ai-expo.net/europe/wp-content/uploads/2018/06/Alejandra-Leon-1.jpg,"Global Segment Architect,  Communications and Brand",Shell
Dr. Maher Chebbo,https://www.ai-expo.net/europe/wp-content/uploads/2019/03/Dr-Maher-Chebbo-1.jpg,"Senior Executive SVP, Chief Business Innovation Officer",GE Power
Arun Nathani,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Fahad-.jpg,Chief Executive Officer ,Cybage Software
Priyanka Vergadia,https://www.ai-expo.net/europe/wp-content/uploads/2019/04/Privanka-Vergadia.jpg,Developer Advocate,Google Cloud
David Hogan,https://www.ai-expo.net/europe/wp-content/uploads/2019/01/David.jpg,Sr. Director Enterprise,NVIDIA
Andrew Wigfield,https://www.ai-expo.net/europe/wp-content/uploads/2019/05/Andrew-microsoft-1.jpg,Principal Solution Specialist,Microsoft
Romaric Redon,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Rom.jpg,Head of Data Lab,Airbus Defence and Space 
Dr. Evert Haasdijk,https://www.ai-expo.net/europe/wp-content/uploads/2019/02/Evert-Haasdijk-002.jpg,Senior Manager and AI expert,Deloitte 
